year,total_commits,unique_authors,is_bug_fix,is_feature,total_issues,pr_count,is_closed
2005,776,11,283,2,,,
2006,1654,14,708,8,,,
2007,707,18,252,1,,,
2008,1348,17,344,2,,,
2009,1577,22,470,4,,,
2010,721,27,316,2,,,
2011,1140,50,354,8,,,
2012,949,72,361,3,,,
2013,1567,126,496,2,,,
2014,1399,142,451,7,,,
2015,1399,168,415,0,,,
2016,1265,162,402,3,,,
2017,1890,175,579,5,,,
2018,2312,213,606,1,,,
2019,2392,213,599,0,,,
2020,3270,276,640,23,,,
2021,3559,277,721,17,,,
2022,2500,255,569,27,2093.0,1225.0,1901.0
2023,3422,236,779,20,2588.0,1638.0,2378.0
2024,3054,213,705,11,2561.0,1608.0,2308.0
2025,2536,217,561,13,2469.0,1752.0,2126.0
2026,311,29,53,0,189.0,148.0,155.0
